MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,YearBuilt,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtHalfBath,FullBath,HalfBath,Functional,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SalePrice,TotalSF,SalePrice_log
60,RL,65.0,8450,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,2003,BrkFace,196.0,PConc,No,GLQ,706,Unf,0,150,856,1710,0,2,1,Typ,Attchd,RFn,2,Y,0,61,0,0,2,2008,208500,2566,12.24769911637256
20,RL,80.0,9600,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,1976,None,0.0,CBlock,Gd,ALQ,978,Unf,0,284,1262,1262,1,2,0,Typ,Attchd,RFn,2,Y,298,0,0,0,5,2007,181500,2524,12.109016442313738
60,RL,68.0,11250,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,2001,BrkFace,162.0,PConc,Mn,GLQ,486,Unf,0,434,920,1786,0,2,1,Typ,Attchd,RFn,2,Y,0,42,0,0,9,2008,223500,2706,12.317171167298682
70,RL,60.0,9550,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,1915,None,0.0,BrkTil,No,ALQ,216,Unf,0,540,756,1717,0,1,0,Typ,Detchd,Unf,3,Y,0,35,272,0,2,2006,140000,2473,11.849404844423074
60,RL,84.0,14260,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,2000,BrkFace,350.0,PConc,Av,GLQ,655,Unf,0,490,1145,2198,0,2,1,Typ,Attchd,RFn,3,Y,192,84,0,0,12,2008,250000,3343,12.429220196836383
50,RL,85.0,14115,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,1993,None,0.0,Wood,No,GLQ,732,Unf,0,64,796,1362,0,1,1,Typ,Attchd,Unf,2,Y,40,30,0,0,10,2009,143000,2158,11.870606902224587
20,RL,75.0,10084,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,2004,Stone,186.0,PConc,Av,GLQ,1369,Unf,0,317,1686,1694,0,2,0,Typ,Attchd,RFn,2,Y,255,57,0,0,8,2007,307000,3380,12.634606283893019
60,RL,81.28888888888889,10382,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,1973,Stone,240.0,CBlock,Mn,ALQ,859,BLQ,32,216,1107,2090,0,2,1,Typ,Attchd,RFn,2,Y,235,204,228,0,11,2009,200000,3197,12.206077645517674
50,RM,51.0,6120,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,1931,None,0.0,BrkTil,No,Unf,0,Unf,0,952,952,1774,0,2,0,Min1,Detchd,Unf,2,Y,90,0,205,0,4,2008,129900,2726,11.774527900858468
190,RL,50.0,7420,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,1939,None,0.0,BrkTil,No,GLQ,851,Unf,0,140,991,1077,0,1,0,Typ,Attchd,RFn,1,Y,0,4,0,0,1,2008,118000,2068,11.678448377988165
20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,1965,None,0.0,CBlock,No,Rec,906,Unf,0,134,1040,1040,0,1,0,Typ,Detchd,Unf,1,Y,0,0,0,0,2,2008,129500,2080,11.771443882099637
60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,2005,Stone,286.0,PConc,No,GLQ,998,Unf,0,177,1175,2324,0,3,0,Typ,BuiltIn,Fin,3,Y,147,21,0,0,7,2006,345000,3499,12.75130259456002
20,RL,74.4375,12968,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,1962,None,0.0,CBlock,No,ALQ,737,Unf,0,175,912,912,0,1,0,Typ,Detchd,Unf,1,Y,140,0,0,176,9,2008,144000,1824,11.87757552297847
20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,2006,Stone,306.0,PConc,Av,Unf,0,Unf,0,1494,1494,1494,0,2,0,Typ,Attchd,RFn,3,Y,160,33,0,0,8,2007,279500,2988,12.540761149388421
20,RL,76.46236559139786,10920,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,1960,BrkFace,212.0,CBlock,No,BLQ,733,Unf,0,520,1253,1253,0,1,1,Typ,Attchd,RFn,1,Y,0,213,176,0,5,2008,157000,2506,11.964007453736912
45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,1929,None,0.0,BrkTil,No,Unf,0,Unf,0,832,832,854,0,1,0,Typ,Detchd,Unf,2,Y,48,112,0,0,7,2007,132000,1686,11.790564777297387
20,RL,76.46236559139786,11241,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,1970,BrkFace,180.0,CBlock,No,ALQ,578,Unf,0,426,1004,1004,0,1,0,Typ,Attchd,Fin,2,Y,0,0,0,0,3,2010,149000,2008,11.91170829631447
90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,1967,None,0.0,Slab,None,None,0,None,0,0,0,1296,0,2,0,Typ,CarPort,Unf,2,Y,0,0,0,0,10,2006,90000,1296,11.407576060361786
20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,2004,None,0.0,PConc,No,GLQ,646,Unf,0,468,1114,1114,0,1,1,Typ,Detchd,Unf,2,Y,0,102,0,0,6,2008,159000,2228,11.976665770490767
20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1958,None,0.0,CBlock,No,LwQ,504,Unf,0,525,1029,1339,0,1,0,Min1,Attchd,Unf,1,Y,0,0,0,0,5,2009,139000,2368,11.842236406331555
60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,2005,BrkFace,380.0,PConc,Av,Unf,0,Unf,0,1158,1158,2376,0,3,1,Typ,BuiltIn,RFn,3,Y,240,154,0,0,11,2006,325300,3534,12.692506186542177
45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,1930,None,0.0,PConc,No,Unf,0,Unf,0,637,637,1108,0,1,0,Typ,Attchd,Unf,1,N,0,0,205,0,6,2007,139400,1745,11.845109950883979
